Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
1993,168,Drama,5.6,15,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor
2002,158,"Action, Thriller",6.9,35,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover
2014,126,Action,3.5,10,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari
1946,131,"Drama, History",5.0,8,Mohan Sinha,Nigar Sultana,Suraiya,Menaka Devi
2004,94,Drama,4.5,16,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey
1991,131,"Drama, History, Sport",6.0,35,Nikkhil Advani,John Abraham,Unknown,Unknown
2008,138,"Horror, Mystery, Romance",6.4,35,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh
2016,120,"Horror, Mystery",4.1,35,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal
2012,124,"Drama, Horror, Romance",4.8,35,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan
2018,144,"Horror, Mystery, Romance",4.5,35,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt
1994,157,"Action, Drama, History",7.2,35,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala
2007,136,"Action, Drama, War",8.1,35,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal
2019,107,Thriller,4.0,20,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam
2017,113,Comedy,5.5,106,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal
2014,131,Drama,7.3,16,Sanjay Amar,Mumtaz Ahmed,Bidita Bag,Madhuri Bhatia
2019,131,Comedy,6.0,35,Saki Shah,Bilal Ahamad Bhagat,Neelu Dogra,Rahat Kazmi
1991,131,Drama,6.0,35,Unknown,Unknown,Unknown,Unknown
2013,131,"Comedy, Family",5.6,14,Ravi Bhatia,Ravi Bhatia,Ronak Bhatia,Kamal Chopra
2012,80,"Adventure, Horror, Mystery",6.8,21,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma
2003,122,"Action, Crime, Thriller",5.0,33,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika
2005,131,Drama,6.0,35,Kishan Shah,Ramesh Goyal,Satnam Kaur,Anil Nagrath
2014,149,"Comedy, Drama, Romance",6.9,35,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh
2018,148,"Action, Sci-Fi",6.2,35,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson
1998,149,"Crime, Mystery, Thriller",3.5,112,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu
2018,131,Drama,6.0,35,Aryeman Ramsay,Mukul Dev,Rahul Dev,Ravi Kishan
2018,131,Drama,6.0,35,Partha Sarkar,Bidita Bag,Sameer Dharmadhikari,Jatin Goswami
2017,130,Comedy,6.1,94,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda
1991,131,War,6.0,35,Rajkumar Santoshi,Randeep Hooda,Vikramjeet Virk,Nitin Chauhan
2018,124,Thriller,6.1,8,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh
1979,121,"Drama, History",7.7,52,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit
2019,126,Sport,6.1,361,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor
2002,188,"Biography, Drama, History",5.1,642,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh
1998,131,Thriller,6.0,35,Tinnu Anand,Bharat Kapoor,Goga Kapoor,Amrit Pal
1951,131,Unknown,7.6,5,Chitra Mitra,Unknown,Unknown,Unknown
1956,131,Unknown,6.6,7,Ramesh Saigal,Ajit,Unknown,Unknown
1956,131,Drama,6.0,35,Ramesh Saigal,Ajit,Nalini Jaywant,Leela Mishra
2008,131,Drama,3.1,32,Mohan Sharma,Ajita,Himani Chawla,Sumeet Chawla
1974,115,Drama,6.9,194,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher
2014,103,"Horror, Romance",5.0,514,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier
2012,114,"Comedy, Romance",3.3,165,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan
2020,131,Comedy,6.0,35,Abhishek Dogra,Jackky Bhagnani,Sharman Joshi,Ruslaan Mumtaz
2003,115,"Crime, Drama",7.8,35,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla
2019,122,Comedy,6.9,35,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur
2009,170,"Comedy, Drama",8.4,35,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh
2009,131,"Drama, Romance",5.2,23,Devang Dholakia,Sameer Aftab,Hrishitaa Bhatt,Anuj Sahani
2020,131,Comedy,6.0,35,Anees Barudwale,Asrani,Rakesh Bedi,Priyanshu Chatterjee
2018,100,Drama,6.9,358,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha
2015,99,"Adventure, Drama",4.3,6,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar
2004,131,Horror,5.0,14,Ravi Sinha,Abhay Bhargava,Milind Gunaji,Dinesh Hingoo
2016,131,Thriller,4.8,26,Yesudas,Rana Jung Bahadur,Hrishitaa Bhatt,Shiva Kumar
2015,109,"Action, Drama, History",5.8,238,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle
2009,131,Thriller,4.6,9,Suryaprakash Lakkoju,Ragesh Asthana,Iqbal Azad,Ahsaas Channa
2006,140,"Comedy, Mystery, Thriller",5.7,35,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor
1981,122,"Drama, Romance",7.5,392,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy
1974,131,"Action, Crime, Drama",6.7,128,Raj Tilak,Raaj Kumar,Mala Sinha,Sunil Dutt
2020,128,"Crime, Thriller",5.7,252,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi
2019,93,Drama,5.6,93,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub
1985,102,Horror,5.6,80,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta
2013,125,"Horror, Sci-Fi, Thriller",3.6,35,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan
2019,145,Horror,6.3,6,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi
2016,131,Horror,6.0,35,Vasant Narkar,Minakshi Bhagat,Pragya Chahar,Kabir Khan
1991,96,"Crime, Drama, Thriller",6.0,35,Neeraj Gwal,Pranav Chandrakar,Yashwant Anand Gupta,Neeraj Uke
2011,121,"Drama, Mystery, Thriller",7.3,35,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat
2016,75,Drama,4.8,9,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob
2009,131,"Drama, Sport",3.9,14,Nisha Chainani,Mandira Bedi,Bikram Saluja,Sammir Dattani
2012,113,"Drama, Family, Musical",7.8,21,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik
2011,115,Sport,6.0,35,Shine Krishna,Ashish Bhatia,Naveen Kaushik,Vinay Sharma
2012,111,Thriller,5.7,75,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan
1974,134,"Action, Comedy",6.5,36,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar
2001,131,Action,6.0,35,Hemant Birje,Anu Kashyap,Raza Murad,Paintal
2018,131,Unknown,6.0,35,Piyush Panjuani,Shabana Azmi,Yohaan Panjuani,Unknown
2007,131,"Comedy, Thriller",6.5,82,Chandra Sekhar Yeleti,Pawan Malhotra,Mohit Chadha,Veerendra Chauhan
2002,131,Thriller,6.0,35,Tinnu Anand,Birbal,Chandrashekhar,Siddharth Dhawan
2011,110,"Action, Adventure, Fantasy",4.6,19,G. Venugopal,Akash,Avinash,Gagan
1967,131,Unknown,5.4,5,Mani Kaul,Unknown,Unknown,Unknown
2020,85,Documentary,6.0,35,Kovid Mittal,Kovid Mittal,Unknown,Unknown
2002,131,Thriller,6.0,35,Hemant Birje,Ankush Mohite,Kirti Rawal,Unknown
2014,104,Horror,4.2,171,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari
2007,92,Drama,6.2,31,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia
2011,96,Comedy,6.0,35,Amit r Agarwal,Amit r Agarwal,Kiran Kaur,Unknown
1991,131,"Drama, Romance, Thriller",6.0,35,Samir Khan,Unknown,Unknown,Unknown
2005,136,"Comedy, Drama",5.3,281,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa
1988,126,Action,5.0,7,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan
1995,131,"Action, Drama",3.4,10,Sunil Kumar,Arvind Singh,Channa Ruparel,Avtar Gill
2016,115,"Crime, Thriller",5.7,398,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt
2006,100,Documentary,6.2,10,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash
2011,137,"Drama, Mystery, Thriller",6.1,35,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh
1987,127,"Drama, Horror, Musical",4.1,34,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol
2019,120,Thriller,5.3,449,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta
2019,130,"Action, Biography, Drama",5.3,249,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin
1991,136,"Adventure, Comedy, Drama",6.0,35,Kiranraj K,Rakshit Shetty,Charlie,Sangeetha Sringeri
2018,125,Horror,6.0,35,Ajay Arak,Meenal Chauhan,Mansi Sharma,Vinit
2008,131,Mystery,6.0,35,Sunil Bhojwani,Krishna Abhishek,Ramesh Bachwani,Dravika
2009,122,"Action, Fantasy, Mystery",5.4,35,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey
2021,115,"Adventure, Drama, Mystery",6.6,21,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert
2021,150,"Biography, Drama, History",6.0,35,Kabir Khan,Ranveer Singh,Deepika Padukone,Tahir Raj Bhasin
2003,119,"Mystery, Thriller",4.7,66,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai
2017,124,Action,5.3,9,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat
1991,131,Adventure,6.0,35,Virendra Rathore,Unknown,Unknown,Unknown
2011,115,"Drama, Musical, Thriller",6.0,35,Ashok Patil,Nimisha Baby,Venkatesh Chakravarthy,Kishore Kumar G.
2009,135,"Comedy, Crime, Drama",7.3,35,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani
2019,128,"Musical, Romance",7.4,35,Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha
2005,90,"Crime, Drama",4.8,38,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra
2016,86,"Documentary, Music",6.0,35,Sarvnik Kaur,Tushar Madhav,Unknown,Unknown
2016,86,"Documentary, History, Music",6.0,35,Sarvnik Kaur,Tushar Madhav,Unknown,Unknown
2016,105,Drama,8.1,412,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki
2019,131,Drama,6.0,35,Sarkar Sahith,Suman Rana,Hari Vishnu,Unknown
2016,76,"Drama, Fantasy, Mystery",6.0,35,Ajay Jain,Vidhu Rashmi Jain,Ashok Banthia,Bharat Ratna Bhargava
2021,131,Thriller,6.0,35,Sanjay Raj,Ansh Chaturvedi,Jigyasa Tiwari,Anurag Bhardwaj
2014,131,"Drama, Family, Sport",6.0,35,Manto Pashupatinath,Bhavana Singh Chauhan,Akhilendra Mishra,Abhilash Narain
2017,145,Drama,6.3,10,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad
2016,110,"Drama, Thriller",7.5,35,Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah
2016,70,Documentary,6.0,35,Rupak Das,Unknown,Unknown,Unknown
2015,72,"Documentary, Biography",7.7,10,Sruti Harihara Subramanian,Unknown,Unknown,Unknown
2005,150,"Horror, Mystery",6.8,179,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi
2010,103,"Drama, Horror, Romance",4.5,202,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney
2016,151,"Action, Adventure, Comedy",3.0,35,Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones
2020,109,"Comedy, Romance",6.3,181,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri
2017,145,"Action, Comedy",6.2,35,Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez
2019,95,"Drama, Romance",8.0,33,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai
1959,92,Drama,6.0,35,Mehboob Khan,Unknown,Unknown,Unknown
2013,127,Drama,7.3,17,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare
1996,52,Documentary,6.4,7,Riyad Vinci Wadia,Aida Banaji,Ajay Mehta,Unknown
2021,131,Thriller,6.0,35,Chand Mehta,Hrishitaa Bhatt,Gulshan Pandey,Jimmy Shergil
2013,140,Romance,6.0,80,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar
1970,131,Drama,6.0,35,Amrit Mahendra,Master Bhagwan,Simi Garewal,Jagdev
2019,75,"Crime, Drama",6.0,35,Jacob Paul,Uday Bhan Mourya,Anjali Ujawane,Unknown
2020,89,Documentary,6.8,15,Cristina Hanes,Isabella Rinaldi,Arya Rothe,Unknown
2016,112,Thriller,3.1,142,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul
2021,131,Drama,6.0,35,Raajhorshee De,Sayan Chakraborty,Sudiptaa Chakraborty,Ranita Das
1997,131,Thriller,6.0,35,Vinod Alva,Kalyan Kumar,Raghuvaran,Unknown
1976,131,Documentary,6.0,35,Fali Bilimoria,Unknown,Unknown,Unknown
1991,131,"Comedy, Drama, Music",6.0,35,Arturo Alanis Garza,Kavya Trehan,Victoria Kuhne,Unknown
2000,131,Thriller,6.0,35,Teerat Singh,Pinky Chinoy,Ali Khan,Anjali Kolhapuri
2011,131,Drama,3.8,15,Tarique Khan,Sahil Seth,Gunjan Bakshi,Snehal Dabi
2005,143,"Drama, Romance",3.8,627,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas
2017,90,Documentary,6.9,337,Sarita Khurana,Smriti Mundhra,Sima Taparia,Unknown
2019,104,Drama,7.9,24,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare
2021,131,"Drama, Thriller",6.0,35,Behzad Khambata,Dimple Kapadia,Yami Gautam,Neha Dhupia
2002,131,Documentary,6.9,8,Goutam Ghose,Unknown,Unknown,Unknown
2017,110,"Comedy, Horror, Mystery",6.0,35,Kashmera Shah,Kashmera Shah,Unknown,Unknown
2008,104,"Action, Crime, Drama",8.1,35,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill
2017,131,Musical,6.0,35,Deepak Gattani,A.R. Rahman,Unknown,Unknown
1999,177,"Musical, Romance, Drama",5.5,35,Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan
2018,121,Drama,8.0,249,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia
2021,140,"Family, Romance",6.0,35,Rajesh Harivansh Mishra,Abhijeet Lahiri,Akanksha Sinha,Mukul Nag
2009,117,"Action, Sci-Fi, Thriller",5.0,866,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary
1973,148,"Action, Drama, Romance",7.2,348,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha
1994,158,"Mystery, Romance",4.4,115,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal
2017,123,Action,2.7,339,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey
2016,120,Drama,6.8,16,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya
1999,131,Action,4.9,28,T.L.V. Prasad,Mithun Chakraborty,Jackie Shroff,Sneha
2004,144,Fantasy,2.4,264,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik
1956,131,Romance,6.0,35,Chaturbhuj Doshi,Kamini Kaushal,Kishore Kumar,Madan Puri
1968,170,"Comedy, Crime, Drama",5.5,21,C.L. Rawal,Ashok Kumar,Vimi,Rehman
1943,131,Unknown,5.2,5,Nazir,Unknown,Unknown,Unknown
1953,131,"Drama, Romance",5.0,5,Hasrat Lucknowi,Iftekhar,Kuldip Kaur,Raaj Kumar
1943,131,Unknown,5.2,5,V.C. Desai,Nalini Jaywant,Mukesh,Unknown
2007,104,Unknown,6.0,35,Sanjay Punjabi,Unknown,Unknown,Unknown
1986,131,Action,5.5,6,Joginder Shelly,Sona Mastan Mirza,Joginder Shelly,Neelam Mehra
2018,72,Horror,7.4,150,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat
2002,131,Action,6.0,35,Salim Suma,Poonam Dasgupta,Raza Murad,Amit Pachori
2020,131,Family,6.0,35,Prashant Kumar,Unknown,Unknown,Unknown
1983,131,Drama,6.0,35,Unknown,Unknown,Unknown,Unknown
1989,131,Unknown,6.0,35,Dev Malhotra,Madhuri Mishra,Ashok Pandey,Reema Raj
1982,105,"Action, Crime, Drama",5.5,28,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri
1977,132,Action,5.1,18,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi
2019,107,Drama,7.6,69,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav
2004,131,Drama,6.0,35,Shorya Veer Saagar,Saurabh Agnihotri,Aryan Harnot,Pooja Raawat
1982,154,Drama,6.4,19,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta
1996,131,Drama,6.0,35,Pooja Choudhary,Tushar Dalvi,Narendra Gupta,Rekha Purohit
2013,157,"Action, Crime, Thriller",5.4,568,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran
1990,88,Documentary,6.0,35,Dilip Ghosh,Unknown,Unknown,Unknown
1991,131,Unknown,6.2,9,Apurba Kishore Bir,Mohan Gokhale,Neena Gupta,Ashok Kumar
1957,131,Unknown,6.0,35,Chandrakant,Unknown,Unknown,Unknown
1950,115,"Drama, Romance",6.7,9,S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur
1999,131,Horror,6.0,35,Hriday Shankar,Manoj Bakshi,Satyendra Kapoor,Satnam Kaur
1957,131,Drama,6.0,35,Chandrakant,Prem Adib,Master Bhagwan,Daisy Irani
1986,131,Thriller,6.0,35,V. Menon,Aparajita,Abhi Bhattacharya,Sargam
1992,131,Action,6.0,35,Govind Singh,Raza Murad,Yunus Parvez,Unknown
1968,175,"Drama, Romance",6.8,196,A. Bhimsingh,Dilip Kumar,Waheeda Rehman,Manoj Kumar
1993,153,"Action, Crime, Drama",6.5,97,Arshad Khan,Ajit,Vikas Anand,Arjun
1991,142,Fantasy,6.7,66,J. Om Prakash,K. Raghavendra Rao,Chiranjeevi,Amrish Puri
2001,131,Thriller,6.0,35,Alka Kubal,Raza Murad,Ramanna,Unknown
1969,168,"Drama, Romance, Thriller",6.2,149,Yash Chopra,Dharmendra,Saira Banu,Feroz Khan
1993,158,"Drama, Romance",5.0,142,J. Om Prakash,Jeetendra,Reena Roy,Govinda
2009,78,Drama,7.6,62,Amit Dutta,Ashok Chaudhary,Bramhaswaroop Mishra,Gagan Singh Sethi
1977,138,"Drama, Family",5.4,34,Devendra Goel,Shatrughan Sinha,Vikram Makandar,Zaheera
2016,145,Horror,4.2,266,Kannan Thamarakkulam,Jayaram,Ramya Krishnan,Om Puri
1977,148,"Crime, Drama",5.3,17,Atma Ram,Navin Nischol,Leena Chandavarkar,Jayshree T.
2021,131,"Comedy, Thriller",6.0,35,Indrajit Nattoji,Amit Sial,Neha Sharma,Garima Jain
2021,131,Romance,6.0,35,Manjeet Rai,Chitransh Raaj,Prishita Tiwari,Sapna Shetty
1948,138,"Musical, Romance",7.4,357,Raj Kapoor,Nargis,Kamini Kaushal,Nigar Sultana
1967,131,"Action, Drama",6.2,29,Naresh Kumar,Feroz Khan,Mumtaz,Achala Sachdev
1994,139,"Action, Comedy, Drama",4.6,227,K. Ravi Shankar,Govinda,Shilpa Shetty Kundra,Sonali Bendre
1994,131,"Action, Thriller",3.1,11,Kanti Shah,Amit Dhamija,Mukesh Khanna,Kiran Kumar
1990,131,Action,6.0,35,Vikaram Naroo,Rakesh Bedi,Birbal,Gulshan Grover
1994,133,Action,4.1,13,Kanti Shah,Alpana,Aparajita,Asrani
1970,131,"Action, Comedy, Drama",3.7,14,A. Salaam,Joy Mukherjee,Poonam Sinha,Master Bhagwan
1990,101,Thriller,6.0,35,Ravi Kumar,Madhuri,Captain Raju,Unknown
1986,131,"Action, Drama, Romance",4.1,42,K. Bapaiah,Jeetendra,Sridevi,Mandakini
2001,131,Action,6.0,35,Ravi Raja Pinisetty,Kiran Rathod,Flora Saini,Raj Shekhar
1998,131,Action,6.0,35,Israr Ahmed,Jagdish Sidana,Satish Kaul,Kader Khan
1975,131,"Action, Drama, Thriller",6.0,35,Tanvir Ahmed,Mumtaz,Robin Kumar,Anwar Hussain
1987,170,Action,5.3,93,Shibu Mitra,Dharmendra,Shatrughan Sinha,Moushumi Chatterjee
1990,131,Action,4.2,22,S.V. Rajendra Singh Babu,Avtar Gill,Rajiv Kapoor,Padmini Kolhapure
1953,131,"Drama, Family",6.0,35,Roop K. Shorey,Meena Shorey,Karan Dewan,Prithviraj Kapoor
1990,180,"Action, Drama",4.8,101,David Dhawan,Sunny Deol,Dimple Kapadia,Archana Puran Singh
2002,131,Action,6.0,35,Kishan Shah,Junior Amitabh Bachchan,Junior Mithun Chakraborthy,Junior Sanjay Dutt
2002,131,Action,6.0,35,Thriller Manju,Rachana Maurya,Sanghavi,Upendra
1993,137,Action,4.8,21,Kanti Shah,Dharmendra,Sadashiv Amrapurkar,Asrani
1988,138,"Action, Thriller",3.4,7,S.R. Pratap,Bipasha,Hemant Birje,Sudhir Dalvi
2001,139,Action,6.0,35,Kanti Shah,Anil Nagrath,Amit Pachori,Sapna Sappu
1991,131,"Drama, Romance",5.7,7,Anup Malik,Reema Lagoo,Kuldeep Mallik,Harish Patel
1990,131,Thriller,6.0,35,Charanya,Y.G. Mahendran,Silk Smitha,Unknown
1989,151,Action,5.0,52,Subhash Ghai,Bhaskar Shetty,Jeetendra,Anil Kapoor
2011,131,"Drama, Horror, Thriller",3.6,23,Karan Razdan,Ila Arun,Anang Desai,Zakir Hussain
1947,131,Drama,6.0,6,Yeshwant Pethkar,Dev Anand,Madhu Apte,Khurshid Begum
1972,131,Romance,6.0,35,I.S. Johar,Dilip Dutt,Ambika Johar,Rajeev Kumar
1943,131,Unknown,6.0,35,N.R. Acharya,Anjali Devi,Mubarak,Motilal
1988,131,Comedy,4.8,30,Dada Kondke,Shakti Kapoor,Huma Khan,Dada Kondke
2001,78,Horror,3.1,7,A.T. Joy,Lekha Pande,Vimal Raj,Shakila
1987,131,Unknown,6.0,35,Ajit,Raja Bundela,Uday Chandra,Geeta Khanna
2009,117,"Comedy, Crime, Drama",5.0,381,Indrajit Nattoji,Shreyas Talpade,Mahie Gill,Karan Veer Mehra
2000,131,Action,6.0,35,Vijay Borade,Zaffar Abbas,Mohnish Bahl,Meena Bisht
