PassengerId,Survived,Pclass,Sex,relatives_count
109,0,3,male,0
110,1,3,female,1
111,0,1,male,0
112,0,3,female,1
113,0,3,male,0
114,0,3,female,1
115,0,3,female,0
116,0,3,male,0
117,0,3,male,0
118,0,2,male,1
119,0,1,male,1
120,0,3,female,6
121,0,2,male,2
122,0,3,male,0
123,0,2,male,1
124,1,2,female,0
125,0,1,male,1
126,1,3,male,1
127,0,3,male,0
128,1,3,male,0
129,1,3,female,2
130,0,3,male,0
131,0,3,male,0
132,0,3,male,0
133,0,3,female,1
134,1,2,female,1
135,0,2,male,0
136,0,2,male,0
137,1,1,female,2
138,0,1,male,1
139,0,3,male,0
140,0,1,male,0
141,0,3,female,2
142,1,3,female,0
143,1,3,female,1
144,0,3,male,0
145,0,2,male,0
146,0,2,male,2
147,1,3,male,0
148,0,3,female,4
149,0,2,male,2
150,0,2,male,0
151,0,2,male,0
152,1,1,female,1
153,0,3,male,0
154,0,3,male,2
155,0,3,male,0
156,0,1,male,1
157,1,3,female,0
158,0,3,male,0
159,0,3,male,0
160,0,3,male,10
161,0,3,male,1
162,1,2,female,0
163,0,3,male,0
164,0,3,male,0
165,0,3,male,5
166,1,3,male,2
167,1,1,female,1
168,0,3,female,5
169,0,1,male,0
170,0,3,male,0
171,0,1,male,0
172,0,3,male,5
173,1,3,female,2
174,0,3,male,0
175,0,1,male,0
176,0,3,male,2
177,0,3,male,4
178,0,1,female,0
179,0,2,male,0
180,0,3,male,0
181,0,3,female,10
182,0,2,male,0
183,0,3,male,6
184,1,2,male,3
185,1,3,female,2
186,0,1,male,0
187,1,3,female,1
188,1,1,male,0
189,0,3,male,2
190,0,3,male,0
191,1,2,female,0
192,0,2,male,0
193,1,3,female,1
194,1,2,male,2
195,1,1,female,0
196,1,1,female,0
197,0,3,male,0
198,0,3,male,1
199,1,3,female,0
200,0,2,female,0
201,0,3,male,0
202,0,3,male,10
203,0,3,male,0
204,0,3,male,0
205,1,3,male,0
206,0,3,female,1
207,0,3,male,1
208,1,3,male,0
209,1,3,female,0
210,1,1,male,0
211,0,3,male,0
212,1,2,female,0
213,0,3,male,0
214,0,2,male,0
215,0,3,male,1
216,1,1,female,1
217,1,3,female,0
218,0,2,male,1
219,1,1,female,0
220,0,2,male,0
221,1,3,male,0
222,0,2,male,0
223,0,3,male,0
224,0,3,male,0
225,1,1,male,1
226,0,3,male,0
227,1,2,male,0
228,0,3,male,0
229,0,2,male,0
230,0,3,female,4
231,1,1,female,1
232,0,3,male,0
233,0,2,male,0
234,1,3,female,6
235,0,2,male,0
236,0,3,female,0
237,0,2,male,1
238,1,2,female,2
239,0,2,male,0
240,0,2,male,0
241,0,3,female,1
242,1,3,female,1
243,0,2,male,0
244,0,3,male,0
245,0,3,male,0
246,0,1,male,2
247,0,3,female,0
248,1,2,female,2
249,1,1,male,2
250,0,2,male,1
251,0,3,male,0
252,0,3,female,2
253,0,1,male,0
254,0,3,male,1
255,0,3,female,2
256,1,3,female,2
257,1,1,female,0
258,1,1,female,0
259,1,1,female,0
260,1,2,female,1
261,0,3,male,0
262,1,3,male,6
263,0,1,male,2
264,0,1,male,0
265,0,3,female,0
266,0,2,male,0
267,0,3,male,5
268,1,3,male,1
269,1,1,female,1
270,1,1,female,0
271,0,1,male,0
272,1,3,male,0
273,1,2,female,1
274,0,1,male,1
275,1,3,female,0
276,1,1,female,1
277,0,3,female,0
278,0,2,male,0
279,0,3,male,5
280,1,3,female,2
281,0,3,male,0
282,0,3,male,0
283,0,3,male,0
284,1,3,male,0
285,0,1,male,0
286,0,3,male,0
287,1,3,male,0
288,0,3,male,0
289,1,2,male,0
290,1,3,female,0
291,1,1,female,0
292,1,1,female,1
293,0,2,male,0
294,0,3,female,0
295,0,3,male,0
296,0,1,male,0
297,0,3,male,0
298,0,1,female,3
299,1,1,male,0
300,1,1,female,1
301,1,3,female,0
302,1,3,male,2
303,0,3,male,0
304,1,2,female,0
305,0,3,male,0
306,1,1,male,3
307,1,1,female,0
308,1,1,female,1
309,0,2,male,1
310,1,1,female,0
311,1,1,female,0
312,1,1,female,4
313,0,2,female,2
314,0,3,male,0
315,0,2,male,2
316,1,3,female,0
317,1,2,female,1
318,0,2,male,0
319,1,1,female,2
320,1,1,female,2
321,0,3,male,0
322,0,3,male,0
323,1,2,female,0
324,1,2,female,2
325,0,3,male,10
326,1,1,female,0
327,0,3,male,0
328,1,2,female,0
329,1,3,female,2
330,1,1,female,1
331,1,3,female,2
332,0,1,male,0
333,0,1,male,1
334,0,3,male,2
335,1,1,female,1
336,0,3,male,0
337,0,1,male,1
338,1,1,female,0
339,1,3,male,0
340,0,1,male,0
341,1,2,male,2
342,1,1,female,5
343,0,2,male,0
344,0,2,male,0
345,0,2,male,0
346,1,2,female,0
347,1,2,female,0
348,1,3,female,1
349,1,3,male,2
350,0,3,male,0
351,0,3,male,0
352,0,1,male,0
353,0,3,male,2
354,0,3,male,1
355,0,3,male,0
356,0,3,male,0
357,1,1,female,1
358,0,2,female,0
359,1,3,female,0
360,1,3,female,0
361,0,3,male,5
362,0,2,male,1
363,0,3,female,1
364,0,3,male,0
365,0,3,male,1
366,0,3,male,0
367,1,1,female,1
368,1,3,female,0
369,1,3,female,0
370,1,1,female,0
371,1,1,male,1
372,0,3,male,1
373,0,3,male,0
374,0,1,male,0
375,0,3,female,4
376,1,1,female,1
377,1,3,female,0
378,0,1,male,2
379,0,3,male,0
380,0,3,male,0
381,1,1,female,0
382,1,3,female,2
383,0,3,male,0
384,1,1,female,1
385,0,3,male,0
386,0,2,male,0
387,0,3,male,7
388,1,2,female,0
389,0,3,male,0
390,1,2,female,0
391,1,1,male,3
392,1,3,male,0
393,0,3,male,2
394,1,1,female,1
395,1,3,female,2
396,0,3,male,0
397,0,3,female,0
398,0,2,male,0
399,0,2,male,0
400,1,2,female,0
401,1,3,male,0
402,0,3,male,0
403,0,3,female,1
404,0,3,male,1
405,0,3,female,0
406,0,2,male,1
407,0,3,male,0
408,1,2,male,2
409,0,3,male,0
410,0,3,female,4
411,0,3,male,0
412,0,3,male,0
413,1,1,female,1
414,0,2,male,0
415,1,3,male,0
416,0,3,female,0
417,1,2,female,2
418,1,2,female,2
419,0,2,male,0
420,0,3,female,2
421,0,3,male,0
422,0,3,male,0
423,0,3,male,0
424,0,3,female,2
425,0,3,male,2
426,0,3,male,0
427,1,2,female,1
428,1,2,female,0
429,0,3,male,0
430,1,3,male,0
431,1,1,male,0
432,1,3,female,1
433,1,2,female,1
434,0,3,male,0
435,0,1,male,1
436,1,1,female,3
437,0,3,female,4
438,1,2,female,5
439,0,1,male,5
440,0,2,male,0
441,1,2,female,2
442,0,3,male,0
443,0,3,male,1
444,1,2,female,0
445,1,3,male,0
446,1,1,male,2
447,1,2,female,1
448,1,1,male,0
449,1,3,female,3
450,1,1,male,0
451,0,2,male,3
452,0,3,male,1
453,0,1,male,0
454,1,1,male,1
455,0,3,male,0
456,1,3,male,0
457,0,1,male,0
458,1,1,female,1
459,1,2,female,0
460,0,3,male,0
461,1,1,male,0
462,0,3,male,0
463,0,1,male,0
464,0,2,male,0
465,0,3,male,0
466,0,3,male,0
467,0,2,male,0
468,0,1,male,0
469,0,3,male,0
470,1,3,female,3
471,0,3,male,0
472,0,3,male,0
473,1,2,female,3
474,1,2,female,0
475,0,3,female,0
476,0,1,male,0
477,0,2,male,1
478,0,3,male,1
479,0,3,male,0
480,1,3,female,1
481,0,3,male,7
482,0,2,male,0
483,0,3,male,0
484,1,3,female,0
485,1,1,male,1
486,0,3,female,4
487,1,1,female,1
488,0,1,male,0
489,0,3,male,0
490,1,3,male,2
491,0,3,male,1
492,0,3,male,0
493,0,1,male,0
494,0,1,male,0
495,0,3,male,0
496,0,3,male,0
497,1,1,female,1
498,0,3,male,0
499,0,1,female,3
500,0,3,male,0
501,0,3,male,0
502,0,3,female,0
503,0,3,female,0
504,0,3,female,0
505,1,1,female,0
506,0,1,male,1
507,1,2,female,2
508,1,1,male,0
509,0,3,male,0
510,1,3,male,0
511,1,3,male,0
512,0,3,male,0
513,1,1,male,0
514,1,1,female,1
515,0,3,male,0
516,0,1,male,0
517,1,2,female,0
518,0,3,male,0
519,1,2,female,1
520,0,3,male,0
521,1,1,female,0
522,0,3,male,0
523,0,3,male,0
524,1,1,female,1
525,0,3,male,0
526,0,3,male,0
527,1,2,female,0
528,0,1,male,0
529,0,3,male,0
530,0,2,male,3
531,1,2,female,2
532,0,3,male,0
533,0,3,male,2
534,1,3,female,2
535,0,3,female,0
536,1,2,female,2
537,0,1,male,0
538,1,1,female,0
539,0,3,male,0
540,1,1,female,2
541,1,1,female,2
542,0,3,female,6
543,0,3,female,6
544,1,2,male,1
545,0,1,male,1
546,0,1,male,0
547,1,2,female,1
548,1,2,male,0
549,0,3,male,2
550,1,2,male,2
551,1,1,male,2
552,0,2,male,0
553,0,3,male,0
554,1,3,male,0
555,1,3,female,0
556,0,1,male,0
557,1,1,female,1
558,0,1,male,0
559,1,1,female,2
560,1,3,female,1
561,0,3,male,0
562,0,3,male,0
563,0,2,male,0
564,0,3,male,0
565,0,3,female,0
566,0,3,male,2
567,0,3,male,0
568,0,3,female,4
569,0,3,male,0
570,1,3,male,0
571,1,2,male,0
572,1,1,female,2
573,1,1,male,0
574,1,3,female,0
575,0,3,male,0
576,0,3,male,0
577,1,2,female,0
578,1,1,female,1
579,0,3,female,1
580,1,3,male,0
581,1,2,female,2
582,1,1,female,2
583,0,2,male,0
584,0,1,male,0
585,0,3,male,0
586,1,1,female,2
587,0,2,male,0
588,1,1,male,2
589,0,3,male,0
590,0,3,male,0
591,0,3,male,0
592,1,1,female,1
593,0,3,male,0
594,0,3,female,2
595,0,2,male,1
596,0,3,male,2
597,1,2,female,0
598,0,3,male,0
599,0,3,male,0
600,1,1,male,1
601,1,2,female,3
602,0,3,male,0
603,0,1,male,0
604,0,3,male,0
605,1,1,male,0
606,0,3,male,1
607,0,3,male,0
608,1,1,male,0
609,1,2,female,3
610,1,1,female,0
611,0,3,female,6
612,0,3,male,0
613,1,3,female,1
614,0,3,male,0
615,0,3,male,0
616,1,2,female,3
617,0,3,male,2
618,0,3,female,1
619,1,2,female,3
620,0,2,male,0
621,0,3,male,1
622,1,1,male,1
623,1,3,male,2
624,0,3,male,0
625,0,3,male,0
626,0,1,male,0
627,0,2,male,0
628,1,1,female,0
629,0,3,male,0
630,0,3,male,0
631,1,1,male,0
632,0,3,male,0
633,1,1,male,0
634,0,1,male,0
635,0,3,female,5
636,1,2,female,0
637,0,3,male,0
638,0,2,male,2
639,0,3,female,5
640,0,3,male,1
641,0,3,male,0
642,1,1,female,0
643,0,3,female,5
644,1,3,male,0
645,1,3,female,3
646,1,1,male,1
647,0,3,male,0
648,1,1,male,0
649,0,3,male,0
650,1,3,female,0
651,0,3,male,0
652,1,2,female,1
653,0,3,male,0
654,1,3,female,0
655,0,3,female,0
656,0,2,male,2
657,0,3,male,0
658,0,3,female,2
659,0,2,male,0
660,0,1,male,2
661,1,1,male,2
662,0,3,male,0
663,0,1,male,0
664,0,3,male,0
665,1,3,male,1
666,0,2,male,2
667,0,2,male,0
668,0,3,male,0
669,0,3,male,0
670,1,1,female,1
671,1,2,female,2
672,0,1,male,1
673,0,2,male,0
674,1,2,male,0
675,0,2,male,0
676,0,3,male,0
677,0,3,male,0
678,1,3,female,0
679,0,3,female,7
680,1,1,male,1
681,0,3,female,0
682,1,1,male,0
683,0,3,male,0
684,0,3,male,7
685,0,2,male,2
686,0,2,male,3
687,0,3,male,5
688,0,3,male,0
689,0,3,male,0
690,1,1,female,1
691,1,1,male,1
692,1,3,female,1
693,1,3,male,0
694,0,3,male,0
695,0,1,male,0
696,0,2,male,0
697,0,3,male,0
698,1,3,female,0
699,0,1,male,2
700,0,3,male,0
701,1,1,female,1
702,1,1,male,0
703,0,3,female,1
704,0,3,male,0
705,0,3,male,1
706,0,2,male,0
707,1,2,female,0
708,1,1,male,0
709,1,1,female,0
710,1,3,male,2
711,1,1,female,0
712,0,1,male,0
713,1,1,male,1
714,0,3,male,0
715,0,2,male,0
716,0,3,male,0
717,1,1,female,0
718,1,2,female,0
719,0,3,male,0
720,0,3,male,0
721,1,2,female,1
722,0,3,male,1
723,0,2,male,0
724,0,2,male,0
725,1,1,male,1
726,0,3,male,0
727,1,2,female,3
728,1,3,female,0
729,0,2,male,1
730,0,3,female,1
731,1,1,female,0
732,0,3,male,0
733,0,2,male,0
734,0,2,male,0
735,0,2,male,0
736,0,3,male,0
737,0,3,female,4
738,1,1,male,0
739,0,3,male,0
740,0,3,male,0
741,1,1,male,0
742,0,1,male,1
743,1,1,female,4
744,0,3,male,1
745,1,3,male,0
746,0,1,male,2
747,0,3,male,2
748,1,2,female,0
749,0,1,male,1
750,0,3,male,0
751,1,2,female,2
752,1,3,male,1
753,0,3,male,0
754,0,3,male,0
755,1,2,female,3
756,1,2,male,2
757,0,3,male,0
758,0,2,male,0
759,0,3,male,0
760,1,1,female,0
761,0,3,male,0
762,0,3,male,0
763,1,3,male,0
764,1,1,female,3
765,0,3,male,0
766,1,1,female,1
767,0,1,male,0
768,0,3,female,0
769,0,3,male,1
770,0,3,male,0
771,0,3,male,0
772,0,3,male,0
773,0,2,female,0
774,0,3,male,0
775,1,2,female,4
776,0,3,male,0
777,0,3,male,0
778,1,3,female,0
779,0,3,male,0
780,1,1,female,1
781,1,3,female,0
782,1,1,female,1
783,0,1,male,0
784,0,3,male,3
785,0,3,male,0
786,0,3,male,0
787,1,3,female,0
788,0,3,male,5
789,1,3,male,3
790,0,1,male,0
791,0,3,male,0
792,0,2,male,0
793,0,3,female,10
794,0,1,male,0
795,0,3,male,0
796,0,2,male,0
797,1,1,female,0
798,1,3,female,0
799,0,3,male,0
800,0,3,female,2
801,0,2,male,0
802,1,2,female,2
803,1,1,male,3
804,1,3,male,1
805,1,3,male,0
806,0,3,male,0
807,0,1,male,0
808,0,3,female,0
809,0,2,male,0
810,1,1,female,1
811,0,3,male,0
812,0,3,male,0
813,0,2,male,0
814,0,3,female,6
815,0,3,male,0
816,0,1,male,0
817,0,3,female,0
818,0,2,male,2
819,0,3,male,0
820,0,3,male,5
821,1,1,female,2
822,1,3,male,0
823,0,1,male,0
824,1,3,female,1
825,0,3,male,5
826,0,3,male,0
827,0,3,male,0
828,1,2,male,2
829,1,3,male,0
830,1,1,female,0
831,1,3,female,1
832,1,2,male,2
833,0,3,male,0
834,0,3,male,0
835,0,3,male,0
836,1,1,female,2
837,0,3,male,0
838,0,3,male,0
839,1,3,male,0
840,1,1,male,0
841,0,3,male,0
842,0,2,male,0
843,1,1,female,0
844,0,3,male,0
845,0,3,male,0
846,0,3,male,0
847,0,3,male,10
848,0,3,male,0
849,0,2,male,1
850,1,1,female,1
851,0,3,male,6
852,0,3,male,0
853,0,3,female,2
854,1,1,female,1
855,0,2,female,1
856,1,3,female,1
857,1,1,female,2
858,1,1,male,0
859,1,3,female,3
860,0,3,male,0
861,0,3,male,2
862,0,2,male,1
863,1,1,female,0
864,0,3,female,10
865,0,2,male,0
866,1,2,female,0
867,1,2,female,1
868,0,1,male,0
869,0,3,male,0
870,1,3,male,2
871,0,3,male,0
872,1,1,female,2
873,0,1,male,0
874,0,3,male,0
875,1,2,female,1
876,1,3,female,0
877,0,3,male,0
878,0,3,male,0
879,0,3,male,0
880,1,1,female,1
881,1,2,female,1
882,0,3,male,0
883,0,3,female,0
884,0,2,male,0
885,0,3,male,0
886,0,3,female,5
887,0,2,male,0
888,1,1,female,0
889,0,3,female,3
890,1,1,male,0
891,0,3,male,0
